"text","cmp_code","eu_code"
"CAMBIAR ESPAÑA:","H",NA
"50 PASOS PARA GOBERNAR JUNTOS","H",NA
"Las próximas elecciones generales no serán unas elecciones más.","202.1",NA
"Dada la trascendencia política que tendrán, concurrimos con un amplio acuerdo.","202.1",NA
"Las fuerzas políticas que hemos participado en este acuerdo acudiremos a las elecciones generales del próximo 26 de Junio de 2016 con los mismos programas electorales con los que nos presentamos a las elecciones del 20D.","000",NA
"No obstante, hemos elaborado un documento programático común destinado a comunicar a la sociedad española los principales espacios de intersección de los distintos programas electorales y, sobre todo, las principales líneas de actuación del gobierno de progreso y cambio que aspiramos a liderar tras el 26J.","305.1",NA
"Se trata de una ruta en cincuenta pasos con los que responderemos a los grandes problemas de nuestra sociedad en el corto y en el mediano plazo.","305.1",NA
"El texto se titula ""Cambiar España: 50 pasos para gobernar juntos” y está organizado en torno a cinco ejes temáticos: económico,","408",NA
"social,","503",NA
"político-institucional,","303",NA
"medioambiental","501",NA
"e internacional","107",NA
"Hoy nada es más urgente que poner en pie un gobierno capaz construir un nuevo futuro para nuestro país.","305.1",NA
"Un nuevo futuro para los millones de trabajadores precarios y para los cientos de miles de jóvenes que han tenido que marcharse por falta de un futuro.","701",NA
"Nada es más urgente que ayudar a las familias que han perdido su casa, a los que han tenido que cerrar su negocio, a quienes lo han pedido todo durante esta crisis.","503",NA
"Nada es más urgente que proteger a quienes echan horas que nadie les paga por salarios de miseria,","701",NA
"a quienes quieren formar su propia familia y no tienen ni para empezar,","504",NA
"a los enfermos que a duras penas llegan a pagarse sus medicamentos","504",NA
"y a los jubilados que han tenido que volver a sostener a sus familias, esta vez con su pensión.","504",NA
"Nada es más urgente que recuperar los inversión sustraída a la sanidad pública","504",NA
"y a la educación pública;","506",NA
"a los servicios sociales y a las personas dependientes;","504",NA
"a la I+D+i, a las infraestructuras,","411",NA
"a la cultura y al deporte.","502",NA
"Nada más urgente que poner fin al robo sistemático de dinero público que unas élites políticas corruptas han llevado a cabo durante décadas con total impunidad.","304",NA
"Hoy nada es más urgente que poner en pie un gobierno que trabaje para defender unas condiciones de vida y trabajo dignas para las grandes mayorías de nuestro país","701",NA
"y garantice que los corruptos se sentarán en los banquillos de los juzgados y no en los consejos de administración de las grandes empresas estratégicas del país.","304",NA
"Estos son nuestros objetivos y estas nuestras propuestas.","000",NA
"CAMBIAR ESPAÑA:","H",NA
"50 PASOS PARA GOBERNAR JUNTOS","H",NA
"I. DEMOCRACIA ECONÓMICA","H",NA
